task_id,source_url,cached_at,model,model_short,condition,score,trials,pass_count,perfect_count,harness,family
3d-scan-calc,https://www.skillsbench.ai/tasks/3d-scan-calc,2026-04-08T06:58:06.599764+00:00,Claude Code (Haiku 4.5),Haiku 4.5,No Skills,40,5,2,2,Claude Code,anthropic
3d-scan-calc,https://www.skillsbench.ai/tasks/3d-scan-calc,2026-04-08T06:58:06.599764+00:00,Claude Code (Haiku 4.5),Haiku 4.5,Self-Generated,33.3,3,1,1,Claude Code,anthropic
3d-scan-calc,https://www.skillsbench.ai/tasks/3d-scan-calc,2026-04-08T06:58:06.599764+00:00,Claude Code (Haiku 4.5),Haiku 4.5,With Skills,100,5,5,5,Claude Code,anthropic
3d-scan-calc,https://www.skillsbench.ai/tasks/3d-scan-calc,2026-04-08T06:58:06.599764+00:00,Claude Code (Opus 4.5),Opus 4.5,No Skills,80,5,4,4,Claude Code,anthropic
3d-scan-calc,https://www.skillsbench.ai/tasks/3d-scan-calc,2026-04-08T06:58:06.599764+00:00,Claude Code (Opus 4.5),Opus 4.5,Self-Generated,0,3,0,0,Claude Code,anthropic
3d-scan-calc,https://www.skillsbench.ai/tasks/3d-scan-calc,2026-04-08T06:58:06.599764+00:00,Claude Code (Opus 4.5),Opus 4.5,With Skills,100,5,5,5,Claude Code,anthropic
3d-scan-calc,https://www.skillsbench.ai/tasks/3d-scan-calc,2026-04-08T06:58:06.599764+00:00,Claude Code (Opus 4.6),Opus 4.6,No Skills,100,5,5,5,Claude Code,anthropic
3d-scan-calc,https://www.skillsbench.ai/tasks/3d-scan-calc,2026-04-08T06:58:06.599764+00:00,Claude Code (Opus 4.6),Opus 4.6,Self-Generated,60,5,3,3,Claude Code,anthropic
3d-scan-calc,https://www.skillsbench.ai/tasks/3d-scan-calc,2026-04-08T06:58:06.599764+00:00,Claude Code (Opus 4.6),Opus 4.6,With Skills,100,5,5,5,Claude Code,anthropic
3d-scan-calc,https://www.skillsbench.ai/tasks/3d-scan-calc,2026-04-08T06:58:06.599764+00:00,Claude Code (Sonnet 4.5),Sonnet 4.5,No Skills,80,5,4,4,Claude Code,anthropic
3d-scan-calc,https://www.skillsbench.ai/tasks/3d-scan-calc,2026-04-08T06:58:06.599764+00:00,Claude Code (Sonnet 4.5),Sonnet 4.5,Self-Generated,33.3,3,1,1,Claude Code,anthropic
3d-scan-calc,https://www.skillsbench.ai/tasks/3d-scan-calc,2026-04-08T06:58:06.599764+00:00,Claude Code (Sonnet 4.5),Sonnet 4.5,With Skills,80,5,4,4,Claude Code,anthropic
3d-scan-calc,https://www.skillsbench.ai/tasks/3d-scan-calc,2026-04-08T06:58:06.599764+00:00,Codex (GPT-5.2),GPT-5.2,No Skills,0,5,0,0,Codex,openai
3d-scan-calc,https://www.skillsbench.ai/tasks/3d-scan-calc,2026-04-08T06:58:06.599764+00:00,Codex (GPT-5.2),GPT-5.2,Self-Generated,0,3,0,0,Codex,openai
3d-scan-calc,https://www.skillsbench.ai/tasks/3d-scan-calc,2026-04-08T06:58:06.599764+00:00,Codex (GPT-5.2),GPT-5.2,With Skills,100,5,5,5,Codex,openai
3d-scan-calc,https://www.skillsbench.ai/tasks/3d-scan-calc,2026-04-08T06:58:06.599764+00:00,Gemini CLI (Gemini 3 Flash),Gemini 3 Flash,No Skills,80,5,4,4,Gemini CLI,google
3d-scan-calc,https://www.skillsbench.ai/tasks/3d-scan-calc,2026-04-08T06:58:06.599764+00:00,Gemini CLI (Gemini 3 Flash),Gemini 3 Flash,With Skills,100,5,5,5,Gemini CLI,google
3d-scan-calc,https://www.skillsbench.ai/tasks/3d-scan-calc,2026-04-08T06:58:06.599764+00:00,Gemini CLI (Gemini 3 Pro),Gemini 3 Pro,No Skills,20,5,1,1,Gemini CLI,google
3d-scan-calc,https://www.skillsbench.ai/tasks/3d-scan-calc,2026-04-08T06:58:06.599764+00:00,Gemini CLI (Gemini 3 Pro),Gemini 3 Pro,With Skills,40,5,2,2,Gemini CLI,google
adaptive-cruise-control,https://www.skillsbench.ai/tasks/adaptive-cruise-control,2026-04-08T06:58:06.599764+00:00,Claude Code (Haiku 4.5),Haiku 4.5,No Skills,0,5,0,0,Claude Code,anthropic
adaptive-cruise-control,https://www.skillsbench.ai/tasks/adaptive-cruise-control,2026-04-08T06:58:06.599764+00:00,Claude Code (Haiku 4.5),Haiku 4.5,Self-Generated,0,3,0,0,Claude Code,anthropic
adaptive-cruise-control,https://www.skillsbench.ai/tasks/adaptive-cruise-control,2026-04-08T06:58:06.599764+00:00,Claude Code (Haiku 4.5),Haiku 4.5,With Skills,0,5,0,0,Claude Code,anthropic
