task_name,observed_schema_count,full_coverage,best_observed_schema,best_observed_score,second_observed_schema,second_observed_score,top3_spread_pp,missing_schema_ids,infra_blocked_schema_ids,runtime_blocked_schema_ids,ambiguous_schema_ids,artifact-generation,analytic-pipeline,engineering-composition,retrieval-heavy-synthesis,environment-control,methodology-guardrail,orchestration-delegation
3d-scan-calc,0,False,,,,,,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,,,,
adaptive-cruise-control,0,False,,,,,,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,,,,
azure-bgp-oscillation-route-leak,0,False,,,,,,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,,,,,
citation-check,7,True,analytic-pipeline,90.0,artifact-generation,90.0,0.0,,,,,90.0,90.0,90.0,90.0,90.0,90.0,90.0
civ6-adjacency-optimizer,7,True,environment-control,55.95,artifact-generation,55.4,3.95,,,,,55.4,50.8,52.0,48.475,55.95,10.0,37.65
court-form-filling,7,True,analytic-pipeline,85.0,methodology-guardrail,85.0,4.5,,,,,76.0,85.0,79.0,10.0,10.0,85.0,80.5
crystallographic-wyckoff-position-analysis,0,False,,,,,,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,,,,,
dapt-intrusion-detection,0,False,,,,,,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,,,,,
data-to-d3,0,False,,,,,,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,,,,
dialogue-parser,0,False,,,,,,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,,,,,
dynamic-object-aware-egomotion,0,False,,,,,,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,,,,,
earthquake-phase-association,7,True,analytic-pipeline,10.0,artifact-generation,10.0,0.0,,,,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,10.0,10.0,10.0,10.0,10.0,10.0,10.0
earthquake-plate-calculation,0,False,,,,,,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,,,,,
econ-detrending-correlation,0,False,,,,,,artifact-generation;analytic-pipeline;engineering-composition;retrieval-heavy-synthesis;environment-control;methodology-guardrail;orchestration-delegation,,,,,,,,,,
