pair_id,task_name,schema_id,candidate_mode,outer_loop_candidate_id,pair_reason,next_pair_plan_mode,source_round_id,next_round_id
3d-scan-calc__artifact-generation,3d-scan-calc,artifact-generation,differentiating,artifact-generation::round1::differentiating,boundary_case;competitor_check,full_matrix,outer-loop-round0,outer-loop-round1
3d-scan-calc__analytic-pipeline,3d-scan-calc,analytic-pipeline,differentiating,analytic-pipeline::round1::differentiating,boundary_case,full_matrix,outer-loop-round0,outer-loop-round1
3d-scan-calc__engineering-composition,3d-scan-calc,engineering-composition,differentiating,engineering-composition::round1::differentiating,boundary_case;competitor_check,full_matrix,outer-loop-round0,outer-loop-round1
3d-scan-calc__retrieval-heavy-synthesis,3d-scan-calc,retrieval-heavy-synthesis,differentiating,retrieval-heavy-synthesis::round1::differentiating,boundary_case;competitor_check,full_matrix,outer-loop-round0,outer-loop-round1
3d-scan-calc__environment-control,3d-scan-calc,environment-control,differentiating,environment-control::round1::differentiating,boundary_case;competitor_check,full_matrix,outer-loop-round0,outer-loop-round1
3d-scan-calc__methodology-guardrail,3d-scan-calc,methodology-guardrail,differentiating,methodology-guardrail::round1::differentiating,boundary_case;competitor_check,full_matrix,outer-loop-round0,outer-loop-round1
3d-scan-calc__orchestration-delegation,3d-scan-calc,orchestration-delegation,differentiating,orchestration-delegation::round1::differentiating,boundary_case;competitor_check,full_matrix,outer-loop-round0,outer-loop-round1
adaptive-cruise-control__artifact-generation,adaptive-cruise-control,artifact-generation,differentiating,artifact-generation::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
adaptive-cruise-control__analytic-pipeline,adaptive-cruise-control,analytic-pipeline,differentiating,analytic-pipeline::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
adaptive-cruise-control__engineering-composition,adaptive-cruise-control,engineering-composition,differentiating,engineering-composition::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
adaptive-cruise-control__retrieval-heavy-synthesis,adaptive-cruise-control,retrieval-heavy-synthesis,differentiating,retrieval-heavy-synthesis::round1::differentiating,assigned_support;boundary_case;competitor_check,full_matrix,outer-loop-round0,outer-loop-round1
adaptive-cruise-control__environment-control,adaptive-cruise-control,environment-control,differentiating,environment-control::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
adaptive-cruise-control__methodology-guardrail,adaptive-cruise-control,methodology-guardrail,differentiating,methodology-guardrail::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
adaptive-cruise-control__orchestration-delegation,adaptive-cruise-control,orchestration-delegation,differentiating,orchestration-delegation::round1::differentiating,boundary_case,full_matrix,outer-loop-round0,outer-loop-round1
azure-bgp-oscillation-route-leak__artifact-generation,azure-bgp-oscillation-route-leak,artifact-generation,differentiating,artifact-generation::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
azure-bgp-oscillation-route-leak__analytic-pipeline,azure-bgp-oscillation-route-leak,analytic-pipeline,differentiating,analytic-pipeline::round1::differentiating,assigned_support;boundary_case,full_matrix,outer-loop-round0,outer-loop-round1
azure-bgp-oscillation-route-leak__engineering-composition,azure-bgp-oscillation-route-leak,engineering-composition,differentiating,engineering-composition::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
azure-bgp-oscillation-route-leak__retrieval-heavy-synthesis,azure-bgp-oscillation-route-leak,retrieval-heavy-synthesis,differentiating,retrieval-heavy-synthesis::round1::differentiating,full_matrix_eval,full_matrix,outer-loop-round0,outer-loop-round1
