pair_id,task_name,schema_id,batch_id,prev_score_pct,curr_score_pct,delta_pp,bucket,prev_classification,curr_classification,prev_selected_round,curr_selected_round,curr_final_status,curr_final_validity,curr_final_issue_codes,curr_selected_reason
3d-scan-calc__artifact-generation,3d-scan-calc,artifact-generation,b04,100.0,100.0,0.0,unchanged,clean_success,clean_success,R0,R0,skipped_baseline_perfect,valid_intentional_skip,baseline_perfect_skip,positive_reward_with_no_exception_stats
3d-scan-calc__analytic-pipeline,3d-scan-calc,analytic-pipeline,b04,100.0,100.0,0.0,unchanged,clean_success,clean_success,R0,R0,skipped_baseline_perfect,valid_intentional_skip,baseline_perfect_skip,positive_reward_with_no_exception_stats
3d-scan-calc__engineering-composition,3d-scan-calc,engineering-composition,b04,100.0,100.0,0.0,unchanged,clean_success,clean_success,R0,R0,skipped_baseline_perfect,valid_intentional_skip,baseline_perfect_skip,positive_reward_with_no_exception_stats
3d-scan-calc__retrieval-heavy-synthesis,3d-scan-calc,retrieval-heavy-synthesis,b04,100.0,100.0,0.0,unchanged,clean_success,clean_success,R0,R0,skipped_baseline_perfect,valid_intentional_skip,baseline_perfect_skip,positive_reward_with_no_exception_stats
3d-scan-calc__environment-control,3d-scan-calc,environment-control,b04,100.0,100.0,0.0,unchanged,clean_success,clean_success,R0,R0,skipped_baseline_perfect,valid_intentional_skip,baseline_perfect_skip,positive_reward_with_no_exception_stats
3d-scan-calc__methodology-guardrail,3d-scan-calc,methodology-guardrail,b04,100.0,100.0,0.0,unchanged,clean_success,clean_success,R0,R0,skipped_baseline_perfect,valid_intentional_skip,baseline_perfect_skip,positive_reward_with_no_exception_stats
3d-scan-calc__orchestration-delegation,3d-scan-calc,orchestration-delegation,b04,100.0,100.0,0.0,unchanged,clean_success,clean_success,R0,R0,skipped_baseline_perfect,valid_intentional_skip,baseline_perfect_skip,positive_reward_with_no_exception_stats
adaptive-cruise-control__artifact-generation,adaptive-cruise-control,artifact-generation,b01,0.0,100.0,100.0,improved,scientific_failure,clean_success,R0,R1,completed,valid,complete_without_exceptions,positive_reward_with_no_exception_stats
adaptive-cruise-control__analytic-pipeline,adaptive-cruise-control,analytic-pipeline,b01,0.0,0.0,0.0,unchanged,scientific_failure,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
adaptive-cruise-control__engineering-composition,adaptive-cruise-control,engineering-composition,b01,100.0,0.0,-100.0,regressed,clean_success,scientific_failure,R1,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
adaptive-cruise-control__retrieval-heavy-synthesis,adaptive-cruise-control,retrieval-heavy-synthesis,b01,0.0,0.0,0.0,unchanged,scientific_failure,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
adaptive-cruise-control__environment-control,adaptive-cruise-control,environment-control,b01,0.0,0.0,0.0,unchanged,scientific_failure,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
adaptive-cruise-control__methodology-guardrail,adaptive-cruise-control,methodology-guardrail,b01,0.0,0.0,0.0,unchanged,scientific_failure,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
adaptive-cruise-control__orchestration-delegation,adaptive-cruise-control,orchestration-delegation,b01,100.0,0.0,-100.0,regressed,clean_success,scientific_failure,R1,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
azure-bgp-oscillation-route-leak__artifact-generation,azure-bgp-oscillation-route-leak,artifact-generation,b03,0.0,0.0,0.0,unchanged,scientific_failure,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
azure-bgp-oscillation-route-leak__analytic-pipeline,azure-bgp-oscillation-route-leak,analytic-pipeline,b03,0.0,0.0,0.0,unchanged,scientific_failure,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
azure-bgp-oscillation-route-leak__engineering-composition,azure-bgp-oscillation-route-leak,engineering-composition,b03,0.0,0.0,0.0,unchanged,scientific_failure,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
azure-bgp-oscillation-route-leak__retrieval-heavy-synthesis,azure-bgp-oscillation-route-leak,retrieval-heavy-synthesis,b03,0.0,100.0,100.0,improved,scientific_failure,clean_success,R0,R2,completed,valid,complete_without_exceptions,positive_reward_with_no_exception_stats
azure-bgp-oscillation-route-leak__environment-control,azure-bgp-oscillation-route-leak,environment-control,b03,0.0,0.0,0.0,unchanged,scientific_failure,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
azure-bgp-oscillation-route-leak__methodology-guardrail,azure-bgp-oscillation-route-leak,methodology-guardrail,b03,0.0,0.0,0.0,unchanged,scientific_failure,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
azure-bgp-oscillation-route-leak__orchestration-delegation,azure-bgp-oscillation-route-leak,orchestration-delegation,b03,0.0,0.0,0.0,unchanged,scientific_failure,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
citation-check__artifact-generation,citation-check,artifact-generation,b02,100.0,100.0,0.0,unchanged,clean_success,clean_success,R0,R0,skipped_baseline_perfect,valid_intentional_skip,baseline_perfect_skip,positive_reward_with_no_exception_stats
citation-check__analytic-pipeline,citation-check,analytic-pipeline,b02,100.0,100.0,0.0,unchanged,clean_success,clean_success,R0,R0,skipped_baseline_perfect,valid_intentional_skip,baseline_perfect_skip,positive_reward_with_no_exception_stats
citation-check__engineering-composition,citation-check,engineering-composition,b02,100.0,100.0,0.0,unchanged,clean_success,clean_success,R0,R0,skipped_baseline_perfect,valid_intentional_skip,baseline_perfect_skip,positive_reward_with_no_exception_stats
citation-check__retrieval-heavy-synthesis,citation-check,retrieval-heavy-synthesis,b02,100.0,100.0,0.0,unchanged,clean_success,clean_success,R0,R0,skipped_baseline_perfect,valid_intentional_skip,baseline_perfect_skip,positive_reward_with_no_exception_stats
citation-check__environment-control,citation-check,environment-control,b02,100.0,100.0,0.0,unchanged,clean_success,clean_success,R0,R0,skipped_baseline_perfect,valid_intentional_skip,baseline_perfect_skip,positive_reward_with_no_exception_stats
citation-check__methodology-guardrail,citation-check,methodology-guardrail,b02,100.0,100.0,0.0,unchanged,clean_success,clean_success,R0,R0,skipped_baseline_perfect,valid_intentional_skip,baseline_perfect_skip,positive_reward_with_no_exception_stats
citation-check__orchestration-delegation,citation-check,orchestration-delegation,b02,100.0,100.0,0.0,unchanged,clean_success,clean_success,R0,R0,skipped_baseline_perfect,valid_intentional_skip,baseline_perfect_skip,positive_reward_with_no_exception_stats
civ6-adjacency-optimizer__artifact-generation,civ6-adjacency-optimizer,artifact-generation,b03,60.0,60.0,0.0,unchanged,clean_success,clean_success,R0,R0,completed,valid,complete_without_exceptions,positive_reward_with_no_exception_stats
civ6-adjacency-optimizer__analytic-pipeline,civ6-adjacency-optimizer,analytic-pipeline,b03,70.0,60.0,-10.0,regressed,clean_success,clean_success,R2,R3,completed,valid,complete_without_exceptions,positive_reward_with_no_exception_stats
civ6-adjacency-optimizer__engineering-composition,civ6-adjacency-optimizer,engineering-composition,b03,60.0,55.0,-5.0,regressed,clean_success,clean_success,R0,R0,completed,valid,complete_without_exceptions,positive_reward_with_no_exception_stats
civ6-adjacency-optimizer__retrieval-heavy-synthesis,civ6-adjacency-optimizer,retrieval-heavy-synthesis,b03,55.0,0.0,-55.0,regressed,clean_success,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
civ6-adjacency-optimizer__environment-control,civ6-adjacency-optimizer,environment-control,b03,60.0,60.0,0.0,unchanged,clean_success,clean_success,R0,R0,completed,valid,complete_without_exceptions,positive_reward_with_no_exception_stats
civ6-adjacency-optimizer__methodology-guardrail,civ6-adjacency-optimizer,methodology-guardrail,b03,60.0,0.0,-60.0,regressed,clean_success,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
civ6-adjacency-optimizer__orchestration-delegation,civ6-adjacency-optimizer,orchestration-delegation,b03,60.0,50.0,-10.0,regressed,clean_success,clean_success,R2,R1,completed,valid,complete_without_exceptions,positive_reward_with_no_exception_stats
court-form-filling__artifact-generation,court-form-filling,artifact-generation,b04,100.0,0.0,-100.0,regressed,clean_success,scientific_failure,R2,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
court-form-filling__analytic-pipeline,court-form-filling,analytic-pipeline,b04,100.0,0.0,-100.0,regressed,clean_success,scientific_failure,R3,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
court-form-filling__engineering-composition,court-form-filling,engineering-composition,b04,100.0,0.0,-100.0,regressed,clean_success,scientific_failure,R1,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
court-form-filling__retrieval-heavy-synthesis,court-form-filling,retrieval-heavy-synthesis,b04,0.0,0.0,0.0,unchanged,scientific_failure,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
court-form-filling__environment-control,court-form-filling,environment-control,b04,0.0,0.0,0.0,unchanged,scientific_failure,scientific_failure,R0,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
court-form-filling__methodology-guardrail,court-form-filling,methodology-guardrail,b04,100.0,100.0,0.0,unchanged,clean_success,clean_success,R1,R2,completed,valid,complete_without_exceptions,positive_reward_with_no_exception_stats
court-form-filling__orchestration-delegation,court-form-filling,orchestration-delegation,b04,0.0,100.0,100.0,improved,scientific_failure,clean_success,R0,R3,completed,valid,complete_without_exceptions,positive_reward_with_no_exception_stats
dapt-intrusion-detection__artifact-generation,dapt-intrusion-detection,artifact-generation,b05,0.0,100.0,100.0,improved,scientific_failure,clean_success,R0,R3,completed,valid,complete_without_exceptions,positive_reward_with_no_exception_stats
dapt-intrusion-detection__analytic-pipeline,dapt-intrusion-detection,analytic-pipeline,b05,100.0,100.0,0.0,unchanged,clean_success,clean_success,R1,R2,completed,valid,complete_without_exceptions,positive_reward_with_no_exception_stats
dapt-intrusion-detection__engineering-composition,dapt-intrusion-detection,engineering-composition,b05,0.0,100.0,100.0,improved,scientific_failure,clean_success,R0,R1,completed,valid,complete_without_exceptions,positive_reward_with_no_exception_stats
dapt-intrusion-detection__retrieval-heavy-synthesis,dapt-intrusion-detection,retrieval-heavy-synthesis,b05,100.0,100.0,0.0,unchanged,clean_success,clean_success,R1,R1,completed,valid,complete_without_exceptions,positive_reward_with_no_exception_stats
dapt-intrusion-detection__environment-control,dapt-intrusion-detection,environment-control,b05,0.0,100.0,100.0,improved,scientific_failure,clean_success,R0,R1,completed,valid,complete_without_exceptions,positive_reward_with_no_exception_stats
dapt-intrusion-detection__methodology-guardrail,dapt-intrusion-detection,methodology-guardrail,b05,100.0,100.0,0.0,unchanged,clean_success,clean_success,R3,R0,skipped_baseline_perfect,valid_intentional_skip,baseline_perfect_skip,positive_reward_with_no_exception_stats
dapt-intrusion-detection__orchestration-delegation,dapt-intrusion-detection,orchestration-delegation,b05,0.0,100.0,100.0,improved,scientific_failure,clean_success,R0,R3,completed,valid,complete_without_exceptions,positive_reward_with_no_exception_stats
data-to-d3__artifact-generation,data-to-d3,artifact-generation,b01,100.0,0.0,-100.0,regressed,clean_success,scientific_failure,R1,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
data-to-d3__analytic-pipeline,data-to-d3,analytic-pipeline,b01,0.0,100.0,100.0,improved,scientific_failure,clean_success,R0,R1,completed,valid,complete_without_exceptions,positive_reward_with_no_exception_stats
data-to-d3__engineering-composition,data-to-d3,engineering-composition,b01,100.0,0.0,-100.0,regressed,clean_success,scientific_failure,R2,R0,completed,valid,complete_without_exceptions,clean_zero_or_negative_reward
