task_name,c0_pct,c1_pct,analytic-pipeline.score_pct,analytic-pipeline.round,analytic-pipeline.classification,artifact-generation.score_pct,artifact-generation.round,artifact-generation.classification,engineering-composition.score_pct,engineering-composition.round,engineering-composition.classification,environment-control.score_pct,environment-control.round,environment-control.classification,methodology-guardrail.score_pct,methodology-guardrail.round,methodology-guardrail.classification,orchestration-delegation.score_pct,orchestration-delegation.round,orchestration-delegation.classification,retrieval-heavy-synthesis.score_pct,retrieval-heavy-synthesis.round,retrieval-heavy-synthesis.classification
3d-scan-calc,80.0,80.0,100.0,R0,clean_success,100.0,R0,clean_success,100.0,R0,clean_success,100.0,R0,clean_success,100.0,R0,clean_success,100.0,R0,clean_success,100.0,R0,clean_success
adaptive-cruise-control,0.0,0.0,0.0,R0,scientific_failure,0.0,R0,scientific_failure,0.0,R0,scientific_failure,0.0,R0,scientific_failure,0.0,R0,scientific_failure,100.0,R1,clean_success,100.0,R2,clean_success
azure-bgp-oscillation-route-leak,0.0,0.0,100.0,R3,clean_success,0.0,R0,scientific_failure,0.0,R0,scientific_failure,0.0,R0,scientific_failure,100.0,R3,clean_success,100.0,R2,clean_success,0.0,R0,scientific_failure
citation-check,100.0,100.0,100.0,R0,clean_success,100.0,R0,clean_success,100.0,R0,clean_success,100.0,R0,clean_success,100.0,R0,clean_success,100.0,R0,clean_success,100.0,R0,clean_success
civ6-adjacency-optimizer,0.0,14.7,55.0,R3,clean_success,60.0,R1,clean_success,40.0,R3,clean_success,60.0,R2,clean_success,60.0,R2,clean_success,60.0,R0,clean_success,45.0,R0,clean_success
court-form-filling,20.0,20.0,100.0,R1,clean_success,100.0,R1,clean_success,0.0,R0,scientific_failure,0.0,R0,scientific_failure,100.0,R2,clean_success,100.0,R1,clean_success,100.0,R3,clean_success
dapt-intrusion-detection,0.0,80.0,0.0,R0,scientific_failure,100.0,R0,clean_success,100.0,R0,clean_success,100.0,R0,clean_success,100.0,R1,clean_success,100.0,R0,clean_success,100.0,R1,clean_success
data-to-d3,60.0,80.0,0.0,R0,scientific_failure,0.0,R0,scientific_failure,0.0,R0,scientific_failure,0.0,R0,scientific_failure,100.0,R1,clean_success,100.0,R0,clean_success,0.0,R0,scientific_failure
earthquake-phase-association,20.0,20.0,100.0,R1,clean_success,100.0,R0,clean_success,100.0,R1,clean_success,100.0,R0,clean_success,100.0,R0,clean_success,100.0,R1,clean_success,100.0,R1,clean_success
earthquake-plate-calculation,0.0,60.0,0.0,R0,scientific_failure,100.0,R2,clean_success,0.0,R0,scientific_failure,0.0,R0,scientific_failure,0.0,R0,scientific_failure,100.0,R1,clean_success,0.0,R0,scientific_failure
econ-detrending-correlation,40.0,60.0,100.0,R0,clean_success,100.0,R0,clean_success,100.0,R0,clean_success,100.0,R0,clean_success,100.0,R0,clean_success,100.0,R1,clean_success,100.0,R0,clean_success
energy-ac-optimal-power-flow,20.0,20.0,100.0,R0,clean_success,100.0,R0,clean_success,100.0,R0,clean_success,100.0,R1,clean_success,100.0,R0,clean_success,100.0,R0,clean_success,100.0,R0,clean_success
energy-market-pricing,0.0,0.0,0.0,R0,scientific_failure,0.0,R0,scientific_failure,0.0,R0,scientific_failure,100.0,R2,clean_success,100.0,R0,clean_success,0.0,R0,scientific_failure,100.0,R2,clean_success
exceltable-in-ppt,60.0,80.0,100.0,R1,clean_success,100.0,R0,clean_success,100.0,R0,clean_success,100.0,R1,clean_success,0.0,R0,scientific_failure,100.0,R1,clean_success,100.0,R0,clean_success
exoplanet-detection-period,0.0,0.0,0.0,R0,scientific_failure,0.0,R0,scientific_failure,100.0,R3,clean_success,100.0,R3,clean_success,0.0,R0,scientific_failure,0.0,R0,scientific_failure,100.0,R1,clean_success
financial-modeling-qa,0.0,0.0,0.0,R0,scientific_failure,0.0,R0,scientific_failure,0.0,R0,scientific_failure,100.0,R1,clean_success,100.0,R1,clean_success,0.0,R0,scientific_failure,0.0,R0,scientific_failure
find-topk-similiar-chemicals,20.0,10.0,100.0,R1,clean_success,0.0,R0,scientific_failure,100.0,R2,clean_success,0.0,R0,scientific_failure,0.0,R0,scientific_failure,100.0,R1,clean_success,0.0,R0,scientific_failure
fix-build-agentops,0.0,0.0,0.0,R0,scientific_failure,0.0,R0,scientific_failure,0.0,R0,scientific_failure,0.0,R0,scientific_failure,0.0,R0,scientific_failure,0.0,R0,scientific_failure,0.0,R0,scientific_failure
fix-build-google-auto,0.0,0.0,0.0,R0,scientific_failure,0.0,R0,scientific_failure,0.0,R0,scientific_failure,0.0,R0,runtime_failure,0.0,R0,scientific_failure,0.0,R0,scientific_failure,0.0,R0,scientific_failure
fix-druid-loophole-cve,20.0,80.0,0.0,R0,scientific_failure,0.0,R0,scientific_failure,0.0,R0,scientific_failure,0.0,R0,scientific_failure,0.0,R0,scientific_failure,0.0,R0,scientific_failure,0.0,R0,scientific_failure
