pair_id,task_name,schema_id,latest_status,latest_status_code,attempt_count,successful_attempt_count,docker_incident_attempt_count,other_failure_attempt_count,needs_rerun,rerun_reason,latest_run_label,latest_started_at,latest_finished_at,latest_launcher_status,latest_launcher_stage,latest_launcher_returncode,latest_run_status,latest_failure_stage,latest_failure_type,latest_failure_summary,latest_selected_round_index,latest_selected_score_pct,latest_best_observed_round_index,latest_best_observed_score_pct,latest_early_stop,latest_timeout_detected,latest_has_intermediate_exceptions,latest_output_dir,attempt_run_labels
3d-scan-calc__artifact-generation,3d-scan-calc,artifact-generation,completed,C,1,1,0,0,False,,run-first20x7-round0-2026-04-24,2026-04-24T21:51:35.987864+00:00,2026-04-24T22:15:30.802217+00:00,succeeded,run,0,completed,,,,0,100.0,0,100.0,False,False,False,<repo-root>/experiments/skillx-skillsbench-001/results/outer-loop-round0/sonnet45-task-list-first20-v0.1/pairs/3d-scan-calc__artifact-generation/refine_run_run-first20x7-round0-2026-04-24,run-first20x7-round0-2026-04-24
3d-scan-calc__analytic-pipeline,3d-scan-calc,analytic-pipeline,completed,C,1,1,0,0,False,,run-first20x7-round0-2026-04-24,2026-04-24T21:51:35.988364+00:00,2026-04-24T22:17:44.597220+00:00,succeeded,run,0,completed,,,,0,100.0,0,100.0,False,False,False,<repo-root>/experiments/skillx-skillsbench-001/results/outer-loop-round0/sonnet45-task-list-first20-v0.1/pairs/3d-scan-calc__analytic-pipeline/refine_run_run-first20x7-round0-2026-04-24,run-first20x7-round0-2026-04-24
3d-scan-calc__engineering-composition,3d-scan-calc,engineering-composition,completed,C,1,1,0,0,False,,run-first20x7-round0-2026-04-24,2026-04-24T21:51:35.988376+00:00,2026-04-24T22:10:21.172373+00:00,succeeded,run,0,completed,,,,0,100.0,0,100.0,True,False,False,<repo-root>/experiments/skillx-skillsbench-001/results/outer-loop-round0/sonnet45-task-list-first20-v0.1/pairs/3d-scan-calc__engineering-composition/refine_run_run-first20x7-round0-2026-04-24,run-first20x7-round0-2026-04-24
3d-scan-calc__retrieval-heavy-synthesis,3d-scan-calc,retrieval-heavy-synthesis,completed,C,1,1,0,0,False,,run-first20x7-round0-2026-04-24,2026-04-24T22:10:21.173443+00:00,2026-04-24T22:36:30.137091+00:00,succeeded,run,0,completed,,,,0,100.0,0,100.0,False,False,False,<repo-root>/experiments/skillx-skillsbench-001/results/outer-loop-round0/sonnet45-task-list-first20-v0.1/pairs/3d-scan-calc__retrieval-heavy-synthesis/refine_run_run-first20x7-round0-2026-04-24,run-first20x7-round0-2026-04-24
3d-scan-calc__environment-control,3d-scan-calc,environment-control,completed,C,1,1,0,0,False,,run-first20x7-round0-2026-04-24,2026-04-24T22:15:30.803258+00:00,2026-04-24T22:40:30.647613+00:00,succeeded,run,0,completed,,,,0,100.0,0,100.0,False,False,False,<repo-root>/experiments/skillx-skillsbench-001/results/outer-loop-round0/sonnet45-task-list-first20-v0.1/pairs/3d-scan-calc__environment-control/refine_run_run-first20x7-round0-2026-04-24,run-first20x7-round0-2026-04-24
3d-scan-calc__methodology-guardrail,3d-scan-calc,methodology-guardrail,completed,C,1,1,0,0,False,,run-first20x7-round0-2026-04-24,2026-04-24T22:17:44.598270+00:00,2026-04-24T22:43:31.620589+00:00,succeeded,run,0,completed,,,,0,100.0,0,100.0,False,False,False,<repo-root>/experiments/skillx-skillsbench-001/results/outer-loop-round0/sonnet45-task-list-first20-v0.1/pairs/3d-scan-calc__methodology-guardrail/refine_run_run-first20x7-round0-2026-04-24,run-first20x7-round0-2026-04-24
3d-scan-calc__orchestration-delegation,3d-scan-calc,orchestration-delegation,completed,C,1,1,0,0,False,,run-first20x7-round0-2026-04-24,2026-04-24T22:36:30.137988+00:00,2026-04-24T23:02:40.699324+00:00,succeeded,run,0,completed,,,,0,100.0,0,100.0,False,False,False,<repo-root>/experiments/skillx-skillsbench-001/results/outer-loop-round0/sonnet45-task-list-first20-v0.1/pairs/3d-scan-calc__orchestration-delegation/refine_run_run-first20x7-round0-2026-04-24,run-first20x7-round0-2026-04-24
adaptive-cruise-control__artifact-generation,adaptive-cruise-control,artifact-generation,completed,C,2,2,0,0,False,,run-first20-rate-limit-rerun-2026-04-27-3batch-b01,2026-04-27T18:55:56.039258+00:00,2026-04-27T18:55:56.039894+00:00,succeeded,skip_existing_succeeded,0,completed,,,,0,0.0,0,0.0,False,False,False,<repo-root>/experiments/skillx-skillsbench-001/results/outer-loop-round0/sonnet45-task-list-first20-v0.1/pairs/adaptive-cruise-control__artifact-generation/refine_run_run-first20-rate-limit-rerun-2026-04-27-3batch-b01,run-first20x7-round0-2026-04-24;run-first20-rate-limit-rerun-2026-04-27-3batch-b01
adaptive-cruise-control__analytic-pipeline,adaptive-cruise-control,analytic-pipeline,completed,C,2,2,0,0,False,,run-first20-rate-limit-rerun-2026-04-27-3batch-b01,2026-04-27T18:55:56.040627+00:00,2026-04-27T18:55:56.041356+00:00,succeeded,skip_existing_succeeded,0,completed,,,,0,0.0,0,0.0,False,False,False,<repo-root>/experiments/skillx-skillsbench-001/results/outer-loop-round0/sonnet45-task-list-first20-v0.1/pairs/adaptive-cruise-control__analytic-pipeline/refine_run_run-first20-rate-limit-rerun-2026-04-27-3batch-b01,run-first20x7-round0-2026-04-24;run-first20-rate-limit-rerun-2026-04-27-3batch-b01
adaptive-cruise-control__engineering-composition,adaptive-cruise-control,engineering-composition,completed,C,2,2,0,0,False,,run-first20-rate-limit-rerun-2026-04-27-3batch-b01,2026-04-27T18:55:56.041889+00:00,2026-04-27T18:55:56.042418+00:00,succeeded,skip_existing_succeeded,0,completed,,,,0,0.0,0,0.0,False,False,False,<repo-root>/experiments/skillx-skillsbench-001/results/outer-loop-round0/sonnet45-task-list-first20-v0.1/pairs/adaptive-cruise-control__engineering-composition/refine_run_run-first20-rate-limit-rerun-2026-04-27-3batch-b01,run-first20x7-round0-2026-04-24;run-first20-rate-limit-rerun-2026-04-27-3batch-b01
