pair_id,task_name,schema_id,latest_status,latest_status_code,attempt_count,successful_attempt_count,docker_incident_attempt_count,other_failure_attempt_count,needs_rerun,rerun_reason,latest_run_label,latest_started_at,latest_finished_at,latest_launcher_status,latest_launcher_stage,latest_launcher_returncode,latest_run_status,latest_failure_stage,latest_failure_type,latest_failure_summary,latest_selected_round_index,latest_selected_score_pct,latest_best_observed_round_index,latest_best_observed_score_pct,latest_early_stop,latest_timeout_detected,latest_has_intermediate_exceptions,latest_output_dir,attempt_run_labels
3d-scan-calc__artifact-generation,3d-scan-calc,artifact-generation,completed,C,3,3,0,0,False,,run-round1-first20-fullmatrix-infra-rerun-2026-05-04,2026-05-04T13:56:28.181674+00:00,2026-05-04T14:01:20.460575+00:00,succeeded,run,0,skipped_baseline_perfect,,,,0,100.0,0,100.0,False,False,False,<repo-root>/experiments/skillx-skillsbench-001/results/outer-loop-round0/sonnet45-task-list-first20-v0.1/outer-loop-round1-first20-fullmatrix-2026-05-01-1932-candidates/pairs/3d-scan-calc__artifact-generation/refine_run_run-round1-first20-fullmatrix-infra-rerun-2026-05-04,run-round1-first20-fullmatrix-fallback-2026-05-01-b01;run-round1-first20-fullmatrix-fallback-2026-05-01-combined-b01-b03;run-round1-first20-fullmatrix-infra-rerun-2026-05-04
3d-scan-calc__analytic-pipeline,3d-scan-calc,analytic-pipeline,completed,C,2,2,0,0,False,,run-round1-first20-fullmatrix-fallback-2026-05-01-combined-b01-b03,2026-05-03T00:32:50.177627+00:00,2026-05-03T00:32:50.177938+00:00,succeeded,skip_existing_succeeded,0,skipped_baseline_perfect,,,,0,100.0,0,100.0,False,False,False,<repo-root>/experiments/skillx-skillsbench-001/results/outer-loop-round0/sonnet45-task-list-first20-v0.1/outer-loop-round1-first20-fullmatrix-2026-05-01-1932-candidates/pairs/3d-scan-calc__analytic-pipeline/refine_run_run-round1-first20-fullmatrix-fallback-2026-05-01-b01,run-round1-first20-fullmatrix-fallback-2026-05-01-b01;run-round1-first20-fullmatrix-fallback-2026-05-01-combined-b01-b03
3d-scan-calc__engineering-composition,3d-scan-calc,engineering-composition,completed,C,2,2,0,0,False,,run-round1-first20-fullmatrix-fallback-2026-05-01-combined-b01-b03,2026-05-03T00:32:50.178547+00:00,2026-05-03T00:32:50.178810+00:00,succeeded,skip_existing_succeeded,0,skipped_baseline_perfect,,,,0,100.0,0,100.0,False,False,False,<repo-root>/experiments/skillx-skillsbench-001/results/outer-loop-round0/sonnet45-task-list-first20-v0.1/outer-loop-round1-first20-fullmatrix-2026-05-01-1932-candidates/pairs/3d-scan-calc__engineering-composition/refine_run_run-round1-first20-fullmatrix-fallback-2026-05-01-b01,run-round1-first20-fullmatrix-fallback-2026-05-01-b01;run-round1-first20-fullmatrix-fallback-2026-05-01-combined-b01-b03
3d-scan-calc__retrieval-heavy-synthesis,3d-scan-calc,retrieval-heavy-synthesis,completed,C,2,2,0,0,False,,run-round1-first20-fullmatrix-fallback-2026-05-01-combined-b01-b03,2026-05-03T00:32:50.179348+00:00,2026-05-03T00:32:50.179679+00:00,succeeded,skip_existing_succeeded,0,skipped_baseline_perfect,,,,0,100.0,0,100.0,False,False,False,<repo-root>/experiments/skillx-skillsbench-001/results/outer-loop-round0/sonnet45-task-list-first20-v0.1/outer-loop-round1-first20-fullmatrix-2026-05-01-1932-candidates/pairs/3d-scan-calc__retrieval-heavy-synthesis/refine_run_run-round1-first20-fullmatrix-fallback-2026-05-01-b01,run-round1-first20-fullmatrix-fallback-2026-05-01-b01;run-round1-first20-fullmatrix-fallback-2026-05-01-combined-b01-b03
3d-scan-calc__environment-control,3d-scan-calc,environment-control,completed,C,2,2,0,0,False,,run-round1-first20-fullmatrix-fallback-2026-05-01-combined-b01-b03,2026-05-03T00:32:50.180155+00:00,2026-05-03T00:32:50.180412+00:00,succeeded,skip_existing_succeeded,0,skipped_baseline_perfect,,,,0,100.0,0,100.0,False,False,False,<repo-root>/experiments/skillx-skillsbench-001/results/outer-loop-round0/sonnet45-task-list-first20-v0.1/outer-loop-round1-first20-fullmatrix-2026-05-01-1932-candidates/pairs/3d-scan-calc__environment-control/refine_run_run-round1-first20-fullmatrix-fallback-2026-05-01-b01,run-round1-first20-fullmatrix-fallback-2026-05-01-b01;run-round1-first20-fullmatrix-fallback-2026-05-01-combined-b01-b03
3d-scan-calc__methodology-guardrail,3d-scan-calc,methodology-guardrail,completed,C,2,2,0,0,False,,run-round1-first20-fullmatrix-fallback-2026-05-01-combined-b01-b03,2026-05-03T00:32:50.181209+00:00,2026-05-03T00:32:50.181443+00:00,succeeded,skip_existing_succeeded,0,skipped_baseline_perfect,,,,0,100.0,0,100.0,False,False,False,<repo-root>/experiments/skillx-skillsbench-001/results/outer-loop-round0/sonnet45-task-list-first20-v0.1/outer-loop-round1-first20-fullmatrix-2026-05-01-1932-candidates/pairs/3d-scan-calc__methodology-guardrail/refine_run_run-round1-first20-fullmatrix-fallback-2026-05-01-b01,run-round1-first20-fullmatrix-fallback-2026-05-01-b01;run-round1-first20-fullmatrix-fallback-2026-05-01-combined-b01-b03
3d-scan-calc__orchestration-delegation,3d-scan-calc,orchestration-delegation,completed,C,2,2,0,0,False,,run-round1-first20-fullmatrix-fallback-2026-05-01-combined-b01-b03,2026-05-03T00:32:50.181910+00:00,2026-05-03T00:32:50.182216+00:00,succeeded,skip_existing_succeeded,0,skipped_baseline_perfect,,,,0,100.0,0,100.0,False,False,False,<repo-root>/experiments/skillx-skillsbench-001/results/outer-loop-round0/sonnet45-task-list-first20-v0.1/outer-loop-round1-first20-fullmatrix-2026-05-01-1932-candidates/pairs/3d-scan-calc__orchestration-delegation/refine_run_run-round1-first20-fullmatrix-fallback-2026-05-01-b01,run-round1-first20-fullmatrix-fallback-2026-05-01-b01;run-round1-first20-fullmatrix-fallback-2026-05-01-combined-b01-b03
adaptive-cruise-control__artifact-generation,adaptive-cruise-control,artifact-generation,completed,C,2,2,0,0,False,,run-round1-first20-fullmatrix-fallback-2026-05-01-combined-b01-b03,2026-05-04T13:13:16.824010+00:00,2026-05-04T13:13:16.824230+00:00,succeeded,skip_existing_succeeded,0,completed,,,,0,0.0,0,0.0,False,False,False,<repo-root>/experiments/skillx-skillsbench-001/results/outer-loop-round0/sonnet45-task-list-first20-v0.1/outer-loop-round1-first20-fullmatrix-2026-05-01-1932-candidates/pairs/adaptive-cruise-control__artifact-generation/refine_run_run-round1-first20-fullmatrix-fallback-2026-05-01-b02,run-round1-first20-fullmatrix-fallback-2026-05-01-b02;run-round1-first20-fullmatrix-fallback-2026-05-01-combined-b01-b03
adaptive-cruise-control__analytic-pipeline,adaptive-cruise-control,analytic-pipeline,completed,C,2,2,0,0,False,,run-round1-first20-fullmatrix-fallback-2026-05-01-combined-b01-b03,2026-05-04T13:13:16.824583+00:00,2026-05-04T13:13:16.824767+00:00,succeeded,skip_existing_succeeded,0,completed,,,,0,0.0,0,0.0,False,False,False,<repo-root>/experiments/skillx-skillsbench-001/results/outer-loop-round0/sonnet45-task-list-first20-v0.1/outer-loop-round1-first20-fullmatrix-2026-05-01-1932-candidates/pairs/adaptive-cruise-control__analytic-pipeline/refine_run_run-round1-first20-fullmatrix-fallback-2026-05-01-b02,run-round1-first20-fullmatrix-fallback-2026-05-01-b02;run-round1-first20-fullmatrix-fallback-2026-05-01-combined-b01-b03
adaptive-cruise-control__engineering-composition,adaptive-cruise-control,engineering-composition,completed,C,2,2,0,0,False,,run-round1-first20-fullmatrix-fallback-2026-05-01-combined-b01-b03,2026-05-04T13:13:16.825115+00:00,2026-05-04T13:13:16.825297+00:00,succeeded,skip_existing_succeeded,0,completed,,,,1,100.0,1,100.0,False,False,False,<repo-root>/experiments/skillx-skillsbench-001/results/outer-loop-round0/sonnet45-task-list-first20-v0.1/outer-loop-round1-first20-fullmatrix-2026-05-01-1932-candidates/pairs/adaptive-cruise-control__engineering-composition/refine_run_run-round1-first20-fullmatrix-fallback-2026-05-01-b02,run-round1-first20-fullmatrix-fallback-2026-05-01-b02;run-round1-first20-fullmatrix-fallback-2026-05-01-combined-b01-b03
