schema_id,task_name,evidence_role,evidence_reasons,schema_score,schema_reported_score,schema_rank_for_task,schema_delta_vs_r0_post_best_pp,schema_trajectory_quality,primary_assigned_category,task_best_schema,task_best_score
artifact-generation,civ6-adjacency-optimizer,primary_assignment,primary;near_best,68.4167,60.0,1,60.0,stable_no_loss_gain,artifact-generation,artifact-generation,68.4167
artifact-generation,court-form-filling,floor_top_score,,31.25,100.0,4,,,analytic-pipeline,analytic-pipeline,100.0
analytic-pipeline,court-form-filling,primary_assignment,primary;near_best;high_score;stable_gain;ideal_zero_to_full,100.0,100.0,1,100.0,ideal_zero_to_full_stable,analytic-pipeline,analytic-pipeline,100.0
analytic-pipeline,earthquake-phase-association,primary_assignment,primary;near_best;high_score;stable_gain;ideal_zero_to_full,100.0,100.0,1,100.0,ideal_zero_to_full_stable,analytic-pipeline,analytic-pipeline,100.0
analytic-pipeline,azure-bgp-oscillation-route-leak,primary_assignment,primary;near_best;stable_gain,60.0,100.0,1,100.0,stable_non_decreasing_gain,analytic-pipeline,analytic-pipeline,60.0
analytic-pipeline,exceltable-in-ppt,stable_gain_support,near_best;high_score;stable_gain;ideal_zero_to_full,100.0,100.0,1,100.0,ideal_zero_to_full_stable,environment-control,analytic-pipeline,100.0
analytic-pipeline,civ6-adjacency-optimizer,stable_gain_support,stable_gain,47.25,55.0,2,55.0,stable_non_decreasing_gain,artifact-generation,artifact-generation,68.4167
engineering-composition,exoplanet-detection-period,primary_assignment,primary;near_best;stable_gain,60.0,100.0,1,100.0,stable_non_decreasing_gain,engineering-composition,engineering-composition,60.0
engineering-composition,find-topk-similiar-chemicals,primary_assignment,primary;near_best,31.25,100.0,1,100.0,partial_gain_then_regression,engineering-composition,analytic-pipeline,31.25
engineering-composition,earthquake-phase-association,stable_gain_support,near_best;high_score;stable_gain;ideal_zero_to_full,100.0,100.0,1,100.0,ideal_zero_to_full_stable,analytic-pipeline,analytic-pipeline,100.0
engineering-composition,civ6-adjacency-optimizer,stable_gain_support,stable_gain,43.0,40.0,3,40.0,stable_non_decreasing_gain,artifact-generation,artifact-generation,68.4167
retrieval-heavy-synthesis,energy-market-pricing,primary_assignment,primary;near_best;high_score;stable_gain,80.0,100.0,1,100.0,stable_non_decreasing_gain,retrieval-heavy-synthesis,environment-control,80.0
retrieval-heavy-synthesis,adaptive-cruise-control,primary_assignment,primary;near_best,31.25,100.0,1,100.0,partial_gain_then_regression,retrieval-heavy-synthesis,orchestration-delegation,31.25
retrieval-heavy-synthesis,dapt-intrusion-detection,stable_gain_support,near_best;high_score;stable_gain;ideal_zero_to_full,100.0,100.0,1,100.0,ideal_zero_to_full_stable,methodology-guardrail,methodology-guardrail,100.0
retrieval-heavy-synthesis,court-form-filling,stable_gain_support,stable_gain,60.0,100.0,3,100.0,stable_non_decreasing_gain,analytic-pipeline,analytic-pipeline,100.0
environment-control,energy-ac-optimal-power-flow,primary_assignment,primary;near_best;high_score;stable_gain;ideal_zero_to_full,100.0,100.0,1,100.0,ideal_zero_to_full_stable,environment-control,environment-control,100.0
environment-control,exceltable-in-ppt,primary_assignment,primary;near_best;high_score;stable_gain;ideal_zero_to_full,100.0,100.0,1,100.0,ideal_zero_to_full_stable,environment-control,analytic-pipeline,100.0
environment-control,financial-modeling-qa,primary_assignment,primary;near_best;high_score;stable_gain;ideal_zero_to_full,100.0,100.0,1,100.0,ideal_zero_to_full_stable,environment-control,environment-control,100.0
environment-control,energy-market-pricing,stable_gain_support,near_best;high_score;stable_gain,80.0,100.0,1,100.0,stable_non_decreasing_gain,retrieval-heavy-synthesis,environment-control,80.0
environment-control,exoplanet-detection-period,stable_gain_support,near_best;stable_gain,60.0,100.0,1,100.0,stable_non_decreasing_gain,engineering-composition,engineering-composition,60.0
methodology-guardrail,dapt-intrusion-detection,primary_assignment,primary;near_best;high_score;stable_gain;ideal_zero_to_full,100.0,100.0,1,100.0,ideal_zero_to_full_stable,methodology-guardrail,methodology-guardrail,100.0
methodology-guardrail,data-to-d3,primary_assignment,primary;near_best,31.25,100.0,1,100.0,partial_gain_then_regression,methodology-guardrail,methodology-guardrail,31.25
methodology-guardrail,court-form-filling,stable_gain_support,high_score;stable_gain,80.0,100.0,2,100.0,stable_non_decreasing_gain,analytic-pipeline,analytic-pipeline,100.0
methodology-guardrail,azure-bgp-oscillation-route-leak,stable_gain_support,near_best;stable_gain,60.0,100.0,1,100.0,stable_non_decreasing_gain,analytic-pipeline,analytic-pipeline,60.0
orchestration-delegation,earthquake-plate-calculation,primary_assignment,primary;near_best;high_score;stable_gain;ideal_zero_to_full,100.0,100.0,1,100.0,ideal_zero_to_full_stable,orchestration-delegation,orchestration-delegation,100.0
orchestration-delegation,econ-detrending-correlation,primary_assignment,primary;near_best;high_score;stable_gain;ideal_zero_to_full,100.0,100.0,1,100.0,ideal_zero_to_full_stable,orchestration-delegation,orchestration-delegation,100.0
orchestration-delegation,earthquake-phase-association,stable_gain_support,near_best;high_score;stable_gain;ideal_zero_to_full,100.0,100.0,1,100.0,ideal_zero_to_full_stable,analytic-pipeline,analytic-pipeline,100.0
orchestration-delegation,exceltable-in-ppt,stable_gain_support,near_best;high_score;stable_gain;ideal_zero_to_full,100.0,100.0,1,100.0,ideal_zero_to_full_stable,environment-control,analytic-pipeline,100.0
