task_name,assignment_status,assigned_category,best_observed_category,best_score,best_reported_score,second_best_category,second_best_score,second_reported_score,margin_pp,assignment_confidence,tie_break_used,tie_break_reason,tie_candidate_schema_ids,tie_candidate_count,tie_candidate_semantic_scores,tie_candidate_score_range_pp,observed_schema_count,full_coverage,missing_schema_ids,infra_blocked_schema_ids,runtime_blocked_schema_ids,ambiguous_schema_ids,top3_spread_pp,assigned_score,assigned_reported_score,multi_assigned_categories,multi_assignment_count
3d-scan-calc,unassigned_no_positive_signal,,analytic-pipeline,0.0,100.0,artifact-generation,0.0,100.0,0.0,unassigned,False,,,0,,,7,True,,,,,0.0,,,,0
adaptive-cruise-control,assigned,engineering-composition,engineering-composition,100.0,100.0,orchestration-delegation,31.25,100.0,68.75,high,False,,engineering-composition,1,,0.0,7,True,,,,,100.0,100.0,100.0,engineering-composition,1
azure-bgp-oscillation-route-leak,unassigned_no_positive_signal,,analytic-pipeline,0.0,0.0,artifact-generation,0.0,0.0,0.0,unassigned,False,,,0,,,7,True,,,,,0.0,,,,0
citation-check,unassigned_no_positive_signal,,analytic-pipeline,0.0,100.0,artifact-generation,0.0,100.0,0.0,unassigned,False,,,0,,,7,True,,,,,0.0,,,,0
civ6-adjacency-optimizer,assigned,orchestration-delegation,orchestration-delegation,39.9167,60.0,analytic-pipeline,14.25,70.0,25.67,high,False,,orchestration-delegation,1,,0.0,7,True,,,,,39.92,39.9167,60.0,orchestration-delegation,1
court-form-filling,assigned,analytic-pipeline,analytic-pipeline,60.0,100.0,engineering-composition,51.25,100.0,8.75,medium,False,,analytic-pipeline,1,,0.0,7,True,,,,,28.75,60.0,100.0,analytic-pipeline,1
dapt-intrusion-detection,assigned,analytic-pipeline,analytic-pipeline,100.0,100.0,retrieval-heavy-synthesis,72.5,100.0,27.5,high,False,,analytic-pipeline,1,,0.0,7,True,,,,,40.0,100.0,100.0,analytic-pipeline;methodology-guardrail,2
data-to-d3,assigned,orchestration-delegation,orchestration-delegation,100.0,100.0,engineering-composition,80.0,100.0,20.0,high,False,,orchestration-delegation,1,,0.0,7,True,,,,,40.0,100.0,100.0,engineering-composition;methodology-guardrail;orchestration-delegation,3
earthquake-phase-association,assigned,analytic-pipeline,analytic-pipeline,100.0,100.0,artifact-generation,80.0,100.0,20.0,high,False,,analytic-pipeline,1,,0.0,7,True,,,,,40.0,100.0,100.0,analytic-pipeline;artifact-generation;retrieval-heavy-synthesis,3
earthquake-plate-calculation,assigned,artifact-generation,artifact-generation,60.0,100.0,methodology-guardrail,31.25,100.0,28.75,high,False,,artifact-generation,1,,0.0,7,True,,,,,60.0,60.0,100.0,artifact-generation,1
econ-detrending-correlation,assigned,environment-control,environment-control,80.0,100.0,engineering-composition,72.5,100.0,7.5,medium,False,,environment-control,1,,0.0,7,True,,,,,20.0,80.0,100.0,environment-control;orchestration-delegation,2
energy-ac-optimal-power-flow,assigned,engineering-composition,engineering-composition,100.0,100.0,analytic-pipeline,72.5,100.0,27.5,high,False,,engineering-composition,1,,0.0,7,True,,,,,40.0,100.0,100.0,engineering-composition;methodology-guardrail;retrieval-heavy-synthesis,3
energy-market-pricing,assigned,retrieval-heavy-synthesis,retrieval-heavy-synthesis,72.5,100.0,environment-control,60.0,100.0,12.5,high,False,,retrieval-heavy-synthesis,1,,0.0,7,True,,,,,41.25,72.5,100.0,environment-control;retrieval-heavy-synthesis,2
exceltable-in-ppt,assigned,artifact-generation,artifact-generation,100.0,100.0,environment-control,31.25,100.0,68.75,high,False,,artifact-generation,1,,0.0,7,True,,,,,68.75,100.0,100.0,artifact-generation,1
exoplanet-detection-period,assigned,methodology-guardrail,methodology-guardrail,80.0,100.0,analytic-pipeline,0.0,0.0,80.0,high,False,,methodology-guardrail,1,,0.0,7,True,,,,,80.0,80.0,100.0,methodology-guardrail,1
financial-modeling-qa,assigned,retrieval-heavy-synthesis,retrieval-heavy-synthesis,60.0,100.0,artifact-generation,31.25,100.0,28.75,high,False,,retrieval-heavy-synthesis,1,,0.0,7,True,,,,,28.75,60.0,100.0,retrieval-heavy-synthesis,1
find-topk-similiar-chemicals,assigned,environment-control,environment-control,31.25,100.0,analytic-pipeline,0.0,0.0,31.25,high,False,,environment-control,1,,0.0,7,True,,,,,31.25,31.25,100.0,environment-control,1
fix-build-agentops,unassigned_no_positive_signal,,analytic-pipeline,0.0,0.0,artifact-generation,0.0,0.0,0.0,unassigned,False,,,0,,,7,True,,,,,0.0,,,,0
fix-build-google-auto,unassigned_no_positive_signal,,analytic-pipeline,0.0,0.0,artifact-generation,0.0,0.0,0.0,unassigned,False,,,0,,,7,True,,,,,0.0,,,,0
fix-druid-loophole-cve,unassigned_no_positive_signal,,analytic-pipeline,0.0,0.0,artifact-generation,0.0,0.0,0.0,unassigned,False,,,0,,,7,True,,,,,0.0,,,,0
