task_name,prev_status,cur_status,prev_assigned_category,cur_assigned_category,assignment_changed,prev_assigned_score,cur_assigned_score,delta_assigned_score,prev_margin_pp,cur_margin_pp,prev_confidence,cur_confidence
3d-scan-calc,unassigned_no_positive_signal,unassigned_no_positive_signal,,,False,,,,0.0,0.0,unassigned,unassigned
adaptive-cruise-control,assigned,assigned,retrieval-heavy-synthesis,engineering-composition,True,31.25,100.0,68.75,0.0,68.75,low,high
azure-bgp-oscillation-route-leak,assigned,unassigned_no_positive_signal,analytic-pipeline,,True,60.0,,,0.0,0.0,low,unassigned
citation-check,unassigned_no_positive_signal,unassigned_no_positive_signal,,,False,,,,0.0,0.0,unassigned,unassigned
civ6-adjacency-optimizer,assigned,assigned,artifact-generation,orchestration-delegation,True,68.4167,39.9167,-28.500000000000007,21.17,25.67,high,high
court-form-filling,assigned,assigned,analytic-pipeline,analytic-pipeline,False,100.0,60.0,-40.0,20.0,8.75,high,medium
dapt-intrusion-detection,assigned,assigned,methodology-guardrail,analytic-pipeline,True,100.0,100.0,0.0,0.0,27.5,low,high
data-to-d3,assigned,assigned,methodology-guardrail,orchestration-delegation,True,31.25,100.0,68.75,31.25,20.0,high,high
earthquake-phase-association,assigned,assigned,analytic-pipeline,analytic-pipeline,False,100.0,100.0,0.0,0.0,20.0,low,high
earthquake-plate-calculation,assigned,assigned,orchestration-delegation,artifact-generation,True,100.0,60.0,-40.0,68.75,28.75,high,high
econ-detrending-correlation,assigned,assigned,orchestration-delegation,environment-control,True,100.0,80.0,-20.0,100.0,7.5,high,medium
energy-ac-optimal-power-flow,assigned,assigned,environment-control,engineering-composition,True,100.0,100.0,0.0,100.0,27.5,high,high
energy-market-pricing,assigned,assigned,retrieval-heavy-synthesis,retrieval-heavy-synthesis,False,80.0,72.5,-7.5,0.0,12.5,low,high
exceltable-in-ppt,assigned,assigned,environment-control,artifact-generation,True,100.0,100.0,0.0,0.0,68.75,low,high
exoplanet-detection-period,assigned,assigned,engineering-composition,methodology-guardrail,True,60.0,80.0,20.0,0.0,80.0,low,high
financial-modeling-qa,assigned,assigned,environment-control,retrieval-heavy-synthesis,True,100.0,60.0,-40.0,68.75,28.75,high,high
find-topk-similiar-chemicals,assigned,assigned,engineering-composition,environment-control,True,31.25,31.25,0.0,0.0,31.25,low,high
fix-build-agentops,unassigned_no_positive_signal,unassigned_no_positive_signal,,,False,,,,0.0,0.0,unassigned,unassigned
fix-build-google-auto,unassigned_no_positive_signal,unassigned_no_positive_signal,,,False,,,,0.0,0.0,unassigned,unassigned
fix-druid-loophole-cve,unassigned_no_positive_signal,unassigned_no_positive_signal,,,False,,,,0.0,0.0,unassigned,unassigned
