pair_id,task_name,schema_id,prev_score,cur_score,delta_score,prev_reported_score,cur_reported_score,delta_reported_score,prev_trajectory_signal,cur_trajectory_signal,delta_trajectory_signal,prev_growth_component,cur_growth_component,delta_growth_component,prev_improved_rounds,cur_improved_rounds,delta_improved_rounds,prev_trajectory_quality,cur_trajectory_quality,prev_reported_100,cur_reported_100,protected_100_to_0,score_positive_to_zero
adaptive-cruise-control__engineering-composition,adaptive-cruise-control,engineering-composition,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,50.0,100.0,50.0,0.0,3.0,3.0,stable_no_loss,ideal_zero_to_full_stable,False,True,False,False
dapt-intrusion-detection__analytic-pipeline,dapt-intrusion-detection,analytic-pipeline,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,50.0,100.0,50.0,0.0,3.0,3.0,stable_no_loss,ideal_zero_to_full_stable,False,True,False,False
data-to-d3__orchestration-delegation,data-to-d3,orchestration-delegation,0.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,50.0,100.0,50.0,0.0,3.0,3.0,regression_or_mixed,ideal_zero_to_full_stable,True,True,False,False
energy-ac-optimal-power-flow__engineering-composition,energy-ac-optimal-power-flow,engineering-composition,0.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,50.0,100.0,50.0,0.0,3.0,3.0,baseline_only,ideal_zero_to_full_stable,True,True,False,False
exceltable-in-ppt__artifact-generation,exceltable-in-ppt,artifact-generation,0.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,50.0,100.0,50.0,0.0,3.0,3.0,baseline_only,ideal_zero_to_full_stable,True,True,False,False
data-to-d3__engineering-composition,data-to-d3,engineering-composition,0.0,80.0,80.0,0.0,100.0,100.0,0.0,100.0,100.0,50.0,100.0,50.0,0.0,2.0,2.0,stable_no_loss,stable_non_decreasing_gain,False,True,False,False
exoplanet-detection-period__methodology-guardrail,exoplanet-detection-period,methodology-guardrail,0.0,80.0,80.0,0.0,100.0,100.0,0.0,100.0,100.0,50.0,100.0,50.0,0.0,2.0,2.0,stable_no_loss,stable_non_decreasing_gain,False,True,False,False
earthquake-phase-association__artifact-generation,earthquake-phase-association,artifact-generation,0.0,80.0,80.0,100.0,100.0,0.0,0.0,100.0,100.0,50.0,100.0,50.0,0.0,2.0,2.0,stable_no_loss,stable_non_decreasing_gain,True,True,False,False
econ-detrending-correlation__environment-control,econ-detrending-correlation,environment-control,0.0,80.0,80.0,100.0,100.0,0.0,0.0,100.0,100.0,50.0,100.0,50.0,0.0,2.0,2.0,baseline_only,stable_non_decreasing_gain,True,True,False,False
econ-detrending-correlation__engineering-composition,econ-detrending-correlation,engineering-composition,0.0,72.5,72.5,100.0,100.0,0.0,0.0,70.0,70.0,50.0,100.0,50.0,0.0,2.0,2.0,baseline_only,stable_no_loss_gain,True,True,False,False
