pair_id,task_name,schema_id,prev_score,cur_score,delta_score,prev_reported_score,cur_reported_score,delta_reported_score,prev_trajectory_signal,cur_trajectory_signal,delta_trajectory_signal,prev_growth_component,cur_growth_component,delta_growth_component,prev_improved_rounds,cur_improved_rounds,delta_improved_rounds,prev_trajectory_quality,cur_trajectory_quality,prev_reported_100,cur_reported_100,protected_100_to_0,score_positive_to_zero
earthquake-plate-calculation__orchestration-delegation,earthquake-plate-calculation,orchestration-delegation,100.0,0.0,-100.0,100.0,0.0,-100.0,100.0,0.0,-100.0,100.0,50.0,-50.0,3.0,0.0,-3.0,ideal_zero_to_full_stable,stable_no_loss,True,False,True,True
energy-ac-optimal-power-flow__environment-control,energy-ac-optimal-power-flow,environment-control,100.0,0.0,-100.0,100.0,0.0,-100.0,100.0,0.0,-100.0,100.0,50.0,-50.0,3.0,0.0,-3.0,ideal_zero_to_full_stable,stable_no_loss,True,False,True,True
exceltable-in-ppt__analytic-pipeline,exceltable-in-ppt,analytic-pipeline,100.0,0.0,-100.0,100.0,0.0,-100.0,100.0,0.0,-100.0,100.0,50.0,-50.0,3.0,0.0,-3.0,ideal_zero_to_full_stable,stable_no_loss,True,False,True,True
azure-bgp-oscillation-route-leak__analytic-pipeline,azure-bgp-oscillation-route-leak,analytic-pipeline,60.0,0.0,-60.0,100.0,0.0,-100.0,100.0,0.0,-100.0,100.0,50.0,-50.0,1.0,0.0,-1.0,stable_non_decreasing_gain,stable_no_loss,True,False,True,True
azure-bgp-oscillation-route-leak__methodology-guardrail,azure-bgp-oscillation-route-leak,methodology-guardrail,60.0,0.0,-60.0,100.0,0.0,-100.0,100.0,0.0,-100.0,100.0,50.0,-50.0,1.0,0.0,-1.0,stable_non_decreasing_gain,stable_no_loss,True,False,True,True
court-form-filling__retrieval-heavy-synthesis,court-form-filling,retrieval-heavy-synthesis,60.0,0.0,-60.0,100.0,0.0,-100.0,100.0,0.0,-100.0,100.0,50.0,-50.0,1.0,0.0,-1.0,stable_non_decreasing_gain,stable_no_loss,True,False,True,True
exoplanet-detection-period__engineering-composition,exoplanet-detection-period,engineering-composition,60.0,0.0,-60.0,100.0,0.0,-100.0,100.0,0.0,-100.0,100.0,50.0,-50.0,1.0,0.0,-1.0,stable_non_decreasing_gain,stable_no_loss,True,False,True,True
exoplanet-detection-period__environment-control,exoplanet-detection-period,environment-control,60.0,0.0,-60.0,100.0,0.0,-100.0,100.0,0.0,-100.0,100.0,50.0,-50.0,1.0,0.0,-1.0,stable_non_decreasing_gain,stable_no_loss,True,False,True,True
adaptive-cruise-control__retrieval-heavy-synthesis,adaptive-cruise-control,retrieval-heavy-synthesis,31.25,0.0,-31.25,100.0,0.0,-100.0,45.0,0.0,-45.0,100.0,50.0,-50.0,1.0,0.0,-1.0,partial_gain_then_regression,stable_no_loss,True,False,True,True
azure-bgp-oscillation-route-leak__orchestration-delegation,azure-bgp-oscillation-route-leak,orchestration-delegation,31.25,0.0,-31.25,100.0,0.0,-100.0,45.0,0.0,-45.0,100.0,50.0,-50.0,1.0,0.0,-1.0,partial_gain_then_regression,stable_no_loss,True,False,True,True
