target_set,task_name,schema_id,source_role,prev_primary_assigned_category,pair_id,prev_score,cur_score,delta_score,prev_reported_score,cur_reported_score,delta_reported_score,prev_trajectory_signal,cur_trajectory_signal,delta_trajectory_signal,prev_growth_component,cur_growth_component,delta_growth_component,prev_improved_rounds,cur_improved_rounds,delta_improved_rounds,prev_trajectory_quality,cur_trajectory_quality,prev_reported_100,cur_reported_100,protected_100_to_0,score_positive_to_zero
previous_primary_assignment,adaptive-cruise-control,retrieval-heavy-synthesis,primary_assignment,retrieval-heavy-synthesis,adaptive-cruise-control__retrieval-heavy-synthesis,31.25,0.0,-31.25,100.0,0.0,-100.0,45.0,0.0,-45.0,100.0,50.0,-50.0,1.0,0.0,-1.0,partial_gain_then_regression,stable_no_loss,True,False,True,True
previous_primary_assignment,azure-bgp-oscillation-route-leak,analytic-pipeline,primary_assignment,analytic-pipeline,azure-bgp-oscillation-route-leak__analytic-pipeline,60.0,0.0,-60.0,100.0,0.0,-100.0,100.0,0.0,-100.0,100.0,50.0,-50.0,1.0,0.0,-1.0,stable_non_decreasing_gain,stable_no_loss,True,False,True,True
previous_primary_assignment,civ6-adjacency-optimizer,artifact-generation,primary_assignment,artifact-generation,civ6-adjacency-optimizer__artifact-generation,68.4167,0.0,-68.4167,60.0,60.0,0.0,70.0,0.0,-70.0,100.0,50.0,-50.0,3.0,0.0,-3.0,stable_no_loss_gain,regression_or_mixed,False,False,False,True
previous_primary_assignment,court-form-filling,analytic-pipeline,primary_assignment,analytic-pipeline,court-form-filling__analytic-pipeline,100.0,60.0,-40.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,3.0,1.0,-2.0,ideal_zero_to_full_stable,stable_non_decreasing_gain,True,True,False,False
previous_primary_assignment,dapt-intrusion-detection,methodology-guardrail,primary_assignment,methodology-guardrail,dapt-intrusion-detection__methodology-guardrail,100.0,60.0,-40.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,3.0,1.0,-2.0,ideal_zero_to_full_stable,stable_non_decreasing_gain,True,True,False,False
previous_primary_assignment,data-to-d3,methodology-guardrail,primary_assignment,methodology-guardrail,data-to-d3__methodology-guardrail,31.25,60.0,28.75,100.0,100.0,0.0,45.0,100.0,55.0,100.0,100.0,0.0,1.0,1.0,0.0,partial_gain_then_regression,stable_non_decreasing_gain,True,True,False,False
previous_primary_assignment,earthquake-phase-association,analytic-pipeline,primary_assignment,analytic-pipeline,earthquake-phase-association__analytic-pipeline,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,3.0,3.0,0.0,ideal_zero_to_full_stable,ideal_zero_to_full_stable,True,True,False,False
previous_primary_assignment,earthquake-plate-calculation,orchestration-delegation,primary_assignment,orchestration-delegation,earthquake-plate-calculation__orchestration-delegation,100.0,0.0,-100.0,100.0,0.0,-100.0,100.0,0.0,-100.0,100.0,50.0,-50.0,3.0,0.0,-3.0,ideal_zero_to_full_stable,stable_no_loss,True,False,True,True
previous_primary_assignment,econ-detrending-correlation,orchestration-delegation,primary_assignment,orchestration-delegation,econ-detrending-correlation__orchestration-delegation,100.0,60.0,-40.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,3.0,1.0,-2.0,ideal_zero_to_full_stable,stable_non_decreasing_gain,True,True,False,False
previous_primary_assignment,energy-ac-optimal-power-flow,environment-control,primary_assignment,environment-control,energy-ac-optimal-power-flow__environment-control,100.0,0.0,-100.0,100.0,0.0,-100.0,100.0,0.0,-100.0,100.0,50.0,-50.0,3.0,0.0,-3.0,ideal_zero_to_full_stable,stable_no_loss,True,False,True,True
previous_primary_assignment,energy-market-pricing,retrieval-heavy-synthesis,primary_assignment,retrieval-heavy-synthesis,energy-market-pricing__retrieval-heavy-synthesis,80.0,72.5,-7.5,100.0,100.0,0.0,100.0,70.0,-30.0,100.0,100.0,0.0,2.0,2.0,0.0,stable_non_decreasing_gain,stable_no_loss_gain,True,True,False,False
previous_primary_assignment,exceltable-in-ppt,environment-control,primary_assignment,environment-control,exceltable-in-ppt__environment-control,100.0,31.25,-68.75,100.0,100.0,0.0,100.0,45.0,-55.0,100.0,100.0,0.0,3.0,1.0,-2.0,ideal_zero_to_full_stable,partial_gain_then_regression,True,True,False,False
