task_name,assignment_status,assigned_category,best_observed_category,best_score,best_reported_score,second_best_category,second_best_score,second_reported_score,margin_pp,assignment_confidence,tie_break_used,tie_break_reason,tie_candidate_schema_ids,tie_candidate_count,tie_candidate_semantic_scores,tie_candidate_score_range_pp,observed_schema_count,full_coverage,missing_schema_ids,infra_blocked_schema_ids,runtime_blocked_schema_ids,ambiguous_schema_ids,top3_spread_pp,assigned_score,assigned_reported_score,multi_assigned_categories,multi_assignment_count
3d-scan-calc,unassigned_no_positive_signal,,analytic-pipeline,0.0,100.0,artifact-generation,0.0,100.0,0.0,unassigned,False,,,0,,,7,True,,,,,0.0,,,,0
adaptive-cruise-control,assigned,retrieval-heavy-synthesis,orchestration-delegation,31.25,100.0,retrieval-heavy-synthesis,31.25,100.0,0.0,low,True,stable_random,orchestration-delegation;retrieval-heavy-synthesis,2,orchestration-delegation:0.0;retrieval-heavy-synthesis:0.0,0.0,7,True,,,,,31.25,31.25,100.0,retrieval-heavy-synthesis,1
azure-bgp-oscillation-route-leak,assigned,analytic-pipeline,analytic-pipeline,60.0,100.0,methodology-guardrail,60.0,100.0,0.0,low,True,semantic_prior,analytic-pipeline;methodology-guardrail,2,analytic-pipeline:5.5;methodology-guardrail:1.5,0.0,7,True,,,,,28.75,60.0,100.0,analytic-pipeline;methodology-guardrail,2
citation-check,unassigned_no_positive_signal,,analytic-pipeline,0.0,100.0,artifact-generation,0.0,100.0,0.0,unassigned,False,,,0,,,7,True,,,,,0.0,,,,0
civ6-adjacency-optimizer,assigned,artifact-generation,artifact-generation,68.4167,60.0,analytic-pipeline,47.25,55.0,21.17,high,False,,artifact-generation,1,,0.0,7,True,,,,,25.42,68.4167,60.0,analytic-pipeline;artifact-generation;engineering-composition,3
court-form-filling,assigned,analytic-pipeline,analytic-pipeline,100.0,100.0,methodology-guardrail,80.0,100.0,20.0,high,False,,analytic-pipeline,1,,0.0,7,True,,,,,40.0,100.0,100.0,analytic-pipeline;methodology-guardrail;retrieval-heavy-synthesis,3
dapt-intrusion-detection,assigned,methodology-guardrail,methodology-guardrail,100.0,100.0,retrieval-heavy-synthesis,100.0,100.0,0.0,low,True,balance,methodology-guardrail;retrieval-heavy-synthesis,2,methodology-guardrail:1.5;retrieval-heavy-synthesis:0.0,0.0,7,True,,,,,100.0,100.0,100.0,methodology-guardrail;retrieval-heavy-synthesis,2
data-to-d3,assigned,methodology-guardrail,methodology-guardrail,31.25,100.0,analytic-pipeline,0.0,0.0,31.25,high,False,,methodology-guardrail,1,,0.0,7,True,,,,,31.25,31.25,100.0,methodology-guardrail,1
earthquake-phase-association,assigned,analytic-pipeline,analytic-pipeline,100.0,100.0,engineering-composition,100.0,100.0,0.0,low,True,semantic_prior,analytic-pipeline;engineering-composition;orchestration-delegation,3,analytic-pipeline:5.5;engineering-composition:2.0;orchestration-delegation:0.0,0.0,7,True,,,,,0.0,100.0,100.0,analytic-pipeline;engineering-composition;orchestration-delegation,3
earthquake-plate-calculation,assigned,orchestration-delegation,orchestration-delegation,100.0,100.0,artifact-generation,31.25,100.0,68.75,high,False,,orchestration-delegation,1,,0.0,7,True,,,,,100.0,100.0,100.0,orchestration-delegation,1
