task_name,schema_id,assignment_role,assignment_reasons,primary_assigned_category,primary_assignment,assignment_score_pct,reported_score_pct,best_task_assignment_score_pct,within_best_margin_pp,delta_vs_r0_post_best_pp,delta_vs_r0_final_pp,trajectory_quality,trajectory_signal_score_pct,post_r0_improved_round_count,post_r0_improvement_area_score_pct,post_r0_improved_round_fraction_score_pct,post_r0_terminal_improvement_score_pct,trajectory_non_decreasing_all_rounds,trajectory_post_r0_delta_non_decreasing,trajectory_post_r0_all_ge_r0,trajectory_ideal_zero_to_full_stable,evidence_class,latest_status
adaptive-cruise-control,retrieval-heavy-synthesis,primary_assignment,primary;near_best,retrieval-heavy-synthesis,True,31.25,100.0,31.25,0.0,100.0,0.0,partial_gain_then_regression,45.0,1,33.3333,33.3333,0.0,False,False,True,False,measured,completed
azure-bgp-oscillation-route-leak,analytic-pipeline,primary_assignment,primary;near_best;stable_gain,analytic-pipeline,True,60.0,100.0,60.0,0.0,100.0,100.0,stable_non_decreasing_gain,100.0,1,33.3333,33.3333,100.0,True,True,True,False,measured,completed
azure-bgp-oscillation-route-leak,methodology-guardrail,stable_gain_support,near_best;stable_gain,analytic-pipeline,False,60.0,100.0,60.0,0.0,100.0,100.0,stable_non_decreasing_gain,100.0,1,33.3333,33.3333,100.0,True,True,True,False,measured,completed
civ6-adjacency-optimizer,analytic-pipeline,stable_gain_support,stable_gain,artifact-generation,False,47.25,55.0,68.4167,21.1667,55.0,55.0,stable_non_decreasing_gain,100.0,1,18.3333,33.3333,55.0,True,True,True,False,measured,completed
civ6-adjacency-optimizer,artifact-generation,primary_assignment,primary;near_best,artifact-generation,True,68.4167,60.0,68.4167,0.0,60.0,55.0,stable_no_loss_gain,70.0,3,56.6667,100.0,55.0,False,False,True,False,measured,completed
civ6-adjacency-optimizer,engineering-composition,stable_gain_support,stable_gain,artifact-generation,False,43.0,40.0,68.4167,25.4167,40.0,40.0,stable_non_decreasing_gain,100.0,1,13.3333,33.3333,40.0,True,True,True,False,measured,completed
court-form-filling,analytic-pipeline,primary_assignment,primary;near_best;high_score;stable_gain;ideal_zero_to_full,analytic-pipeline,True,100.0,100.0,100.0,0.0,100.0,100.0,ideal_zero_to_full_stable,100.0,3,100.0,100.0,100.0,True,True,True,True,measured,completed
court-form-filling,methodology-guardrail,stable_gain_support,high_score;stable_gain,analytic-pipeline,False,80.0,100.0,100.0,20.0,100.0,100.0,stable_non_decreasing_gain,100.0,2,66.6667,66.6667,100.0,True,True,True,False,measured,completed
court-form-filling,retrieval-heavy-synthesis,stable_gain_support,stable_gain,analytic-pipeline,False,60.0,100.0,100.0,40.0,100.0,100.0,stable_non_decreasing_gain,100.0,1,33.3333,33.3333,100.0,True,True,True,False,measured,completed
dapt-intrusion-detection,methodology-guardrail,primary_assignment,primary;near_best;high_score;stable_gain;ideal_zero_to_full,methodology-guardrail,True,100.0,100.0,100.0,0.0,100.0,100.0,ideal_zero_to_full_stable,100.0,3,100.0,100.0,100.0,True,True,True,True,measured,completed
dapt-intrusion-detection,retrieval-heavy-synthesis,stable_gain_support,near_best;high_score;stable_gain;ideal_zero_to_full,methodology-guardrail,False,100.0,100.0,100.0,0.0,100.0,100.0,ideal_zero_to_full_stable,100.0,3,100.0,100.0,100.0,True,True,True,True,measured,completed
data-to-d3,methodology-guardrail,primary_assignment,primary;near_best,methodology-guardrail,True,31.25,100.0,31.25,0.0,100.0,0.0,partial_gain_then_regression,45.0,1,33.3333,33.3333,0.0,False,False,True,False,measured,completed
earthquake-phase-association,analytic-pipeline,primary_assignment,primary;near_best;high_score;stable_gain;ideal_zero_to_full,analytic-pipeline,True,100.0,100.0,100.0,0.0,100.0,100.0,ideal_zero_to_full_stable,100.0,3,100.0,100.0,100.0,True,True,True,True,measured,completed
