pair_id,task_name,schema_id,previous_score,current_score,score_delta_pp,previous_reported_score,current_reported_score,reported_score_delta_pp,previous_trajectory_signal_score,current_trajectory_signal_score,trajectory_signal_delta_pp,previous_roles,current_evidence_class,current_failure_type,current_failure_summary
adaptive-cruise-control__retrieval-heavy-synthesis,adaptive-cruise-control,retrieval-heavy-synthesis,31.25,0.0,-31.25,100.0,0.0,-100.0,45.0,0.0,-45.0,"['previous_multi_assignment', 'previous_primary_assignment', 'previous_schema_training_assignment']",measured,,
azure-bgp-oscillation-route-leak__analytic-pipeline,azure-bgp-oscillation-route-leak,analytic-pipeline,60.0,0.0,-60.0,100.0,0.0,-100.0,100.0,0.0,-100.0,"['previous_multi_assignment', 'previous_primary_assignment', 'previous_schema_training_assignment']",measured,,
azure-bgp-oscillation-route-leak__methodology-guardrail,azure-bgp-oscillation-route-leak,methodology-guardrail,60.0,0.0,-60.0,100.0,0.0,-100.0,100.0,0.0,-100.0,"['previous_multi_assignment', 'previous_schema_training_assignment']",measured,,
court-form-filling__retrieval-heavy-synthesis,court-form-filling,retrieval-heavy-synthesis,60.0,0.0,-60.0,100.0,0.0,-100.0,100.0,0.0,-100.0,"['previous_multi_assignment', 'previous_schema_training_assignment']",measured,,
earthquake-phase-association__engineering-composition,earthquake-phase-association,engineering-composition,100.0,0.0,-100.0,100.0,100.0,0.0,100.0,0.0,-100.0,"['previous_multi_assignment', 'previous_schema_training_assignment']",measured,,
earthquake-phase-association__orchestration-delegation,earthquake-phase-association,orchestration-delegation,100.0,0.0,-100.0,100.0,100.0,0.0,100.0,0.0,-100.0,"['previous_multi_assignment', 'previous_schema_training_assignment']",measured,,
earthquake-plate-calculation__orchestration-delegation,earthquake-plate-calculation,orchestration-delegation,100.0,0.0,-100.0,100.0,0.0,-100.0,100.0,0.0,-100.0,"['previous_multi_assignment', 'previous_primary_assignment', 'previous_schema_training_assignment']",measured,,
energy-ac-optimal-power-flow__environment-control,energy-ac-optimal-power-flow,environment-control,100.0,0.0,-100.0,100.0,0.0,-100.0,100.0,0.0,-100.0,"['previous_multi_assignment', 'previous_primary_assignment', 'previous_schema_training_assignment']",measured,,
exceltable-in-ppt__analytic-pipeline,exceltable-in-ppt,analytic-pipeline,100.0,0.0,-100.0,100.0,0.0,-100.0,100.0,0.0,-100.0,"['previous_multi_assignment', 'previous_schema_training_assignment']",measured,,
exoplanet-detection-period__engineering-composition,exoplanet-detection-period,engineering-composition,60.0,0.0,-60.0,100.0,0.0,-100.0,100.0,0.0,-100.0,"['previous_multi_assignment', 'previous_primary_assignment', 'previous_schema_training_assignment']",measured,,
exoplanet-detection-period__environment-control,exoplanet-detection-period,environment-control,60.0,0.0,-60.0,100.0,0.0,-100.0,100.0,0.0,-100.0,"['previous_multi_assignment', 'previous_schema_training_assignment']",measured,,
find-topk-similiar-chemicals__engineering-composition,find-topk-similiar-chemicals,engineering-composition,31.25,0.0,-31.25,100.0,0.0,-100.0,45.0,0.0,-45.0,"['previous_multi_assignment', 'previous_primary_assignment', 'previous_schema_training_assignment']",measured,,
